[20-05-23 23:08:49.631] LOG  : General     , 1684616929631> cachedir set to "C:\Users\zehio\Zomboid".
[20-05-23 23:08:49.651] LOG  : General     , 1684616929651> 20-05-2023 23:08:49.
[20-05-23 23:08:49.652] LOG  : General     , 1684616929652> cachedir is "C:\Users\zehio\Zomboid".
[20-05-23 23:08:49.652] LOG  : General     , 1684616929652> LogFileDir is "C:\Users\zehio\Zomboid\Logs".
[20-05-23 23:08:49.652] LOG  : General     , 1684616929652> ===== System specs =====.
[20-05-23 23:08:49.654] LOG  : General     , 1684616929654> OS: Windows 10, version: 10.0, arch: amd64.
[20-05-23 23:08:49.655] LOG  : General     , 1684616929655> Processor: Intel64 Family 6 Model 158 Stepping 12, GenuineIntel.
[20-05-23 23:08:49.655] LOG  : General     , 1684616929655> Processor cores: 16.
[20-05-23 23:08:49.658] LOG  : General     , 1684616929658> Available processors (cores): 16.
[20-05-23 23:08:49.659] LOG  : General     , 1684616929659> Memory free: 492.071 MB.
[20-05-23 23:08:49.660] LOG  : General     , 1684616929660> Memory max: 3072.0 MB.
[20-05-23 23:08:49.660] LOG  : General     , 1684616929660> Memory  total available to JVM: 512.0 MB.
[20-05-23 23:08:49.666] LOG  : General     , 1684616929666> C:\, Total: 464.34692 GB, Free: 19.622097 GB.
[20-05-23 23:08:49.666] LOG  : General     , 1684616929666> D:\, Total: 223.56934 GB, Free: 22.659702 GB.
[20-05-23 23:08:49.667] LOG  : General     , 1684616929666> E:\, Total: 1770.2366 GB, Free: 865.7513 GB.
[20-05-23 23:08:49.882] LOG  : General     , 1684616929882> Mobo = [Product=MPG Z390 GAMING PRO CARBON (MS-7B17)].
[20-05-23 23:08:50.049] LOG  : General     , 1684616930049> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3600,Name=Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz].
[20-05-23 23:08:50.227] LOG  : General     , 1684616930227> Graphics = { [AdapterRAM=0.41.0.0,DriverVersion=Parsec Virtual Display Adapter,Name=4293918720] }.
[20-05-23 23:08:50.397] LOG  : General     , 1684616930397> VideoMode = [VideoModeDescription=3440 x 1440 x 4294967296 colores].
[20-05-23 23:08:50.568] LOG  : General     , 1684616930568> Sound = { [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Microphone], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Speakers], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=Nahimic,Name=Nahimic mirroring device] }.
[20-05-23 23:08:50.736] LOG  : General     , 1684616930736> Memory RAM = { [Capacity=8589934592,Manufacturer=04CD], [Capacity=8589934592,Manufacturer=04CD], [Capacity=8589934592,Manufacturer=04CD], [Capacity=8589934592,Manufacturer=04CD] }.
[20-05-23 23:08:50.737] LOG  : General     , 1684616930737> ========================.
[20-05-23 23:08:50.737] LOG  : General     , 1684616930737> -- listing properties --.
[20-05-23 23:08:50.737] LOG  : General     , 1684616930737> java.specification.version=17.
[20-05-23 23:08:50.737] LOG  : General     , 1684616930737> sun.cpu.isalist=amd64.
[20-05-23 23:08:50.738] LOG  : General     , 1684616930738> sun.jnu.encoding=Cp1252.
[20-05-23 23:08:50.738] LOG  : General     , 1684616930738> java.class.path=.;commons-compress-1.18.jar;istack-co....
[20-05-23 23:08:50.738] LOG  : General     , 1684616930738> java.vm.vendor=Azul Systems, Inc..
[20-05-23 23:08:50.738] LOG  : General     , 1684616930738> sun.arch.data.model=64.
[20-05-23 23:08:50.738] LOG  : General     , 1684616930738> user.variant=.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> java.vendor.url=http://www.azul.com/.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> user.timezone=Europe/Madrid.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> zomboid.steam=1.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> java.vm.specification.version=17.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> os.name=Windows 10.
[20-05-23 23:08:50.739] LOG  : General     , 1684616930739> user.country=ES.
